ID,filepath,profile,R0,B0,r0,D,El,Tr,n,RationalM,MPOL,NTOR,rstep,drstep,n0,nu_n,mach,beta0,qr,rs,q0,qs,nu_q,time
0x95b5ea,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,24/04/2023 15:44:59
0xd643e9,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,24/04/2023 15:55:02
0xcca021,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,24/04/2023 16:01:28
0xa7db38,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,30/05/2023 15:04:41
0xdb4c0a,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,30/05/2023 16:18:37
0x83d070,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,30/05/2023 16:33:20
0x3506e6,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,30/05/2023 16:37:37
0xb8f343,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,30/05/2023 16:39:06
0x325513,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,31/05/2023 13:08:32
0xdd926b,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,31/05/2023 13:10:03
0x325020,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,31/05/2023 13:14:47
0x1f123c,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,31/05/2023 13:16:05
0xda7a9c,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,31/05/2023 13:19:34
0x76ed09,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,31/05/2023 13:24:44
0x9676a0,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,31/05/2023 13:33:51
0x4bff3b,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,31/05/2023 13:36:08
0xcf63fb,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,31/05/2023 13:38:46
0xb088f6,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,31/05/2023 13:46:46
0xe51b6f,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,31/05/2023 13:50:40
0x50812,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,31/05/2023 13:53:43
0x6c5089,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,31/05/2023 13:57:41
0xeb4a72,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,31/05/2023 13:59:49
0x688a5,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,31/05/2023 14:01:28
0x557ad0,ScanOutput/KH,rotation,10,1,1,0.0,0.0,0.0,-1,1,15,0,0.5,0.25,2.5e+21,2,0.0,0.018,1.0,0,1.01,2,8,31/05/2023 14:04:05
